"nid","title","field_tipo","field_p_gina_inicial","field_dg","field_disciplina_de_p_s_gradua_o","field_professor_a_texto","field_data_expira_home","field_corpo|value","field_corpo|format"
"2077","Devolução de trabalhos","posgraduacao/quadro",NA,"","FLF5245-1 - História da Filosofia Moderna (Natureza e Graça em Blaise Pascal)","Prof. Dr. Luís César Guimarães Oliva","2019-08-07","<div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small;"">Caros (as Alunos (as)</div>

<div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small;"">O professor Luís César Oliva estará em seu gabinete, sala 14, no dia <strong>02/08/2019 (Sexta-feira)</strong> das 13 às 14h , e no dia <strong>07/08/2019 (Quinta-feira)</strong>das 19:30 às 21h. Para a devolução dos Trabalhos de Pós-Graduação.</div>","full_html"
"2076","Retificação de início das aulas","posgraduacao/quadro",NA,"","FLF5253 -1 - História da Filosofia Antiga (Metafísica Aristotélica: a Doutrina das Categorias)","Profs. Evan Robert Keeling e Marco Antônio de Ávila Zingano","2019-08-13","<p>Caros (as) Alunos (as)<br />
Venho por meio deste comunicar que por motivos profissionais, a disciplina FLF5253 --1 - História da Filosofia Antiga (Metafísica Aristotélica: a Doutrina das Categorias), ministrada pelos professores Evan Robert Keeling e Marco Antônio de Ávila Zingano irá começar no dia 13 de agosto de 2019. Na sala 115 a partir das 9h00<br />
 </p>","full_html"
"2071","Início das aulas de graduação do 2º semestre de 2019","graduacao/quadro",NA,"","","","2019-08-21","<table border=""0"" cellpadding=""5"" cellspacing=""0"" style=""width:100.0%"">
	<thead>
		<tr>
			<th colspan=""4"" scope=""col"" style=""height:10px; width:100%"">
			<h3 class=""rtecenter"" style=""color:Blue""><strong>DATA DE INÍCIO DAS DISCIPLINAS DA GRADUAÇÃO – 2º SEM. 2019</strong></h3>
			</th>
		</tr>
	</thead>
	<tbody>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p class=""rtecenter""><strong>DISCIPLINA</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p class=""rtecenter""><strong>PROFESSORES</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p class=""rtecenter""><strong>DIAS</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p class=""rtecenter""><strong>INÍCIO</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:70px; width:25.96%"">
			<p><strong>FLF0114 Filosofia Geral </strong></p>
			</td>
			<td style=""height:70px; width:36.36%"">
			<p><strong>Profs. </strong><strong>Eduardo Brandão    Prof. Evan Keeling</strong></p>

			<p><strong>Prof. Luís César Oliva   Profa. Marilena Chauí</strong></p>
			</td>
			<td style=""height:70px; width:28.44%"">
			<p><strong>2ª (VESPERTINO E NOTURNO) </strong></p>

			<p><strong>4ª (VESPERTINO E NOTURNO)</strong></p>
			</td>
			<td style=""height:70px; width:9.24%"">
			<p><strong>07/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:47px; width:25.96%"">
			<p><strong>FLF0116 Filosofia Geral I </strong></p>
			</td>
			<td style=""height:47px; width:36.36%"">
			<p><strong>Prof. Caetano Plastino</strong></p>

			<p><strong>Prof. Marcus Sacrini</strong></p>
			</td>
			<td style=""height:47px; width:28.44%"">
			<p><strong>5ª (VESPERTINO/ NOTURNO)</strong></p>
			</td>
			<td style=""height:47px; width:9.24%"">
			<p><strong>01/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:38px; width:25.96%"">
			<p><strong>FLF0218 Estética I</strong></p>
			</td>
			<td style=""height:38px; width:36.36%"">
			<p><strong>Prof. Ricardo Fabbrini</strong></p>
			</td>
			<td style=""height:38px; width:28.44%"">
			<p><strong>3ª(VESPERTINO)</strong></p>

			<p><strong>5ª (NOTURNO)</strong></p>
			</td>
			<td style=""height:38px; width:9.24%"">
			<p><strong>06/08</strong></p>

			<p><strong>08/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:38px; width:25.96%"">
			<p><strong>FLF0229 História da Fil. Antiga II</strong></p>
			</td>
			<td style=""height:38px; width:36.36%"">
			<p><strong>Prof. Roberto Bolzani Filho</strong></p>
			</td>
			<td style=""height:38px; width:28.44%"">
			<p><strong>5ª (VESPERTINO/NOTURNO)</strong></p>
			</td>
			<td style=""height:38px; width:9.24%"">
			<p><strong>08/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:36px; width:25.96%"">
			<p><strong>FLF0239 História da Fil. Moderna II</strong></p>
			</td>
			<td style=""height:36px; width:36.36%"">
			<p><strong>Prof. Maurício Keinert</strong></p>
			</td>
			<td style=""height:36px; width:28.44%"">
			<p><strong>2ª (VESPERTINO)</strong></p>

			<p><strong>4ª (NOTURNO)</strong></p>
			</td>
			<td style=""height:36px; width:9.24%"">
			<p><strong>05/08</strong></p>

			<p><strong>07/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:36px; width:25.96%"">
			<p><strong>FLF0268 História da filosofia Medieval I</strong></p>
			</td>
			<td style=""height:36px; width:36.36%"">
			<p><strong>Prof. Carlos Eduardo de Oliveira</strong></p>
			</td>
			<td style=""height:36px; width:28.44%"">
			<p><strong>4ª (VESPERTINO) </strong></p>

			<p><strong>5ª ( NOTURNO)</strong></p>
			</td>
			<td style=""height:36px; width:9.24%"">
			<p><strong>07/08</strong></p>

			<p><strong>08/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:36px; width:25.96%"">
			<p><strong>FLF0368 Teoria do Conhec. E Fil. Da Ciência I</strong></p>
			</td>
			<td style=""height:36px; width:36.36%"">
			<p><strong>Prof. Maurício Ramos</strong></p>
			</td>
			<td style=""height:36px; width:28.44%"">
			<p><strong>2ª (NOTURNO)</strong></p>

			<p><strong>6ª (VESPERTINO)</strong></p>
			</td>
			<td style=""height:36px; width:9.24%"">
			<p><strong>12/08</strong></p>

			<p><strong>16/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:36px; width:25.96%"">
			<p><strong>FLF0388  Ética e  Filosofia Política I</strong></p>
			</td>
			<td style=""height:36px; width:36.36%"">
			<p><strong>Profa. Silvana Ramos</strong></p>
			</td>
			<td style=""height:36px; width:28.44%"">
			<p><strong>3ª (NOTURNO)</strong></p>

			<p><strong>5ª (VESPERTINO)</strong></p>
			</td>
			<td style=""height:36px; width:9.24%"">
			<p><strong>06/08</strong></p>

			<p><strong>08/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:36px; width:25.96%"">
			<p><strong>FLF0441 Filosofia Geral III</strong></p>
			</td>
			<td style=""height:36px; width:36.36%"">
			<p><strong>Prof. Maurício Ramos</strong></p>
			</td>
			<td style=""height:36px; width:28.44%"">
			<p><strong>4ª (VESPERTINO)</strong></p>
			</td>
			<td style=""height:36px; width:9.24%"">
			<p><strong>14/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:36px; width:25.96%"">
			<p><strong>FLF0442 História da Fil. Moderna III</strong></p>
			</td>
			<td style=""height:36px; width:36.36%"">
			<p><strong>Profa. Tessa Moura Lacerda</strong></p>
			</td>
			<td style=""height:36px; width:28.44%"">
			<p><strong>5ª (VESPERTINO/NOTURNO)</strong></p>
			</td>
			<td style=""height:36px; width:9.24%"">
			<p><strong>08/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0445 Teoria do Conhec. E Fil. da Ciência III</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Prof. Valter Alnis Bezerra</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>2ª (VESPERTINO)</strong></p>

			<p><strong>4ª (NOTURNO)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>12/08</strong></p>

			<p><strong>14/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0463 Ética e Fil. Política III</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Prof. Sérgio Cardoso</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>4ª (NOTURNO)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>14/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0465 Estética III</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Prof. Marco Aurélio Werle</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>3ª (VESPERTINO)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>06/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0472 FILOSOFIA DA FÍSICA</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Prof. Osvaldo Frota Pessoa Jr.</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>3ª e 5ª </strong><strong>Das 19:10 às 20:50</strong><br />
			<strong>(Instituto de Física)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>01/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0478 Questões de ensino de Filosofia</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Prof. João Vergílio Cuter</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>6ª (VESPERTINO/NOTURNO)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>09/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0479 Filosofia Geral II</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Profa. Silvana Ramos</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>6ª (VESPERTINO)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>09/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0485 Estágio Supervisionado de Licenciatura</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Profa. Silvana Ramos</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>3ª (das 18h às 19h)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>06/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0501 Filosofia Geral IV</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Prof. Moacyr Novaes</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>2ª (NOTURNO)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>12/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0503 Estética IV</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Prof. Léon Kossovitch</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>6ª (NOTURNO)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>16/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:35px; width:25.96%"">
			<p><strong>FLF0504 Lógica IV</strong></p>
			</td>
			<td style=""height:35px; width:36.36%"">
			<p><strong>Prof. Edélcio Gonçalves de Souza</strong></p>
			</td>
			<td style=""height:35px; width:28.44%"">
			<p><strong>2ª (VESPERTINO)</strong></p>

			<p><strong>3ª (NOTURNO)</strong></p>
			</td>
			<td style=""height:35px; width:9.24%"">
			<p><strong>05/08</strong></p>

			<p><strong>06/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:38px; width:25.96%"">
			<p><strong>FLF0506 Práticas de Leitura</strong></p>
			</td>
			<td style=""height:38px; width:36.36%"">
			<p><strong>Vários Docentes</strong></p>
			</td>
			<td style=""height:38px; width:28.44%"">
			<p><strong>3ª (NOTURNO)</strong></p>
			</td>
			<td style=""height:38px; width:9.24%"">
			<p><strong>06/08</strong></p>
			</td>
		</tr>
		<tr>
			<td style=""height:19px; width:25.96%"">
			<p><strong>FLF0509 Teoria das Ciências Humanas IV</strong></p>
			</td>
			<td style=""height:19px; width:36.36%"">
			<p><strong>Prof. Luiz Sérgio Repa</strong></p>
			</td>
			<td style=""height:19px; width:28.44%"">
			<p><strong>3ª (NOTURNO)</strong></p>

			<p><strong>4ª (VESPERTINO)</strong></p>
			</td>
			<td style=""height:19px; width:9.24%"">
			<p><strong>20/08</strong></p>

			<p><strong>21/08</strong></p>
			</td>
		</tr>
	</tbody>
</table>","full_html"
"2060","Aluno Especial matriculados UNESP/Unicamp - 2/2019","posgraduacao/quadro",NA,"","","","2019-08-01","<p><strong>Pós-Graduação – 2º Semestre de 2019</strong></p>

<p><strong>Aluno Especial UNESP/Unicamp</strong></p>

<p><strong>- FLF5252 - Prof. Pedro Paulo Pimenta e Profa. Isabel Fragelli</strong></p>

<p>Jesse Zanpieri Peternella<br />
Nicole Martinazzo</p>

<p><strong>- FLF5253 - Prof. Marco Antonio Zingano e Prof. Evan Keeling</strong></p>

<p>Thiago Henrique Rosales Marques</p>

<p><strong>- FLF5254 - Profas. Maria das Graças de Souza, Olgaria Feres Matos e Patricia Fontoura Aranovich</strong></p>

<p>Marcel Arruda Furquim<br />
Ribamar Nogueira da Silva<br />
Sarah Bonfim Matos Nunes</p>

<p><strong>- FLF5257 - Prof. Lorenzo Mammi</strong></p>

<p>Nicole Martinazzo</p>

<p><strong>- FLF5197 - Prof. João Vergílio Gallerani Cuter</strong></p>

<p>Silvia Maria Brandão</p>

<p> </p>","full_html"
"2058","Tema de recuperação","graduacao/quadro",NA,"FLF0115 Introdução à Filosofia I","","Profs. Caetano E. Plastino e Marcus Sacrini","2019-07-26","<p><strong>Tema de recuperação:</strong> dissertação sobre o mesmo tema dado em sala de aula. Tamanho: 5 a 7 páginas.</p>

<p><strong>Entrega</strong>: <span style=""background-color:Yellow"">26/07/2019 até às 20h</span> por e-mail aos Profs. Caetano E. Plastino (<a href=""mailto:ceplasti@usp.br"">ceplasti@usp.br</a>) e Marcus Sacrini (<a href=""mailto:sacrini@usp.br"">sacrini@usp.br</a>)</p>","full_html"
"2056","Tema de recuperação","graduacao/quadro",NA,"FLF0443 História da Filosofia Contemporânea III","","Prof. Dr. Pedro Paulo Garrido Pimenta","2019-07-26","<p><strong>Tema de recuperação:</strong> o mesmo do trabalho final</p>

<p><strong>Data de entrega: </strong>26/07/2019</p>","full_html"
"2055","Tema de recuperação","graduacao/quadro",NA,"FLF0468 História da Filosofia Medieval III","","Prof. Dr. José Carlos Estêvão","2019-07-19","<div style=""background-color: transparent; color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: 13.33px; font-stretch: 100%; font-variant-numeric: normal; font-variant-east-asian: normal; line-height: 19.99px; overflow: visible;""><strong>Tema de recuperação:</strong> O mesmo dado em sala de aula</div>

<div style=""background-color: transparent; color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: 13.33px; font-stretch: 100%; font-variant-numeric: normal; font-variant-east-asian: normal; line-height: 19.99px; overflow: visible;""><strong>Data da entrega:</strong> 19/07/2019 até às 18h.</div>","full_html"
"2054","Edital PRPG 13/2019 - SALAMANCA","posgraduacao/quadro",NA,"","","","2019-07-19","<p>Serão recebidas na Secretaria do Departamento de Filosofia no período de <strong>11 a 17 de julho de 2019 das 12h às 17h</strong>, inscrições para o Edital PRPG 13/2019 que objetiva a mobilidade de discentes regularmente matriculados nos Programas de Pós-Graduação.</p>

<p>Saiba mais em: <a href=""http://filosofia.fflch.usp.br/posgraduacao/prpg/edital13-2019"">http://filosofia.fflch.usp.br/posgraduacao/prpg/edital13-2019</a></p>","full_html"
"2052","Pedido de isenção para a taxa de inscrição do Processo Seletivo de Pós-graduação em Filosofia","posgraduacao/quadro",NA,"","","","2019-07-30","<p>Saiba mais: <a href=""http://filosofia.fflch.usp.br/posgraduacao/processoseletivo"">http://filosofia.fflch.usp.br/posgraduacao/processoseletivo</a></p>","full_html"
"2051","Tema de recuperação","graduacao/quadro",NA,"FLF0479 Filosofia Geral II","","Prof. Dr. Alex de Campos Moura","2019-07-22","<p><strong>Tema de recuperação:</strong> o mesmo combinado em sala de aula</p>

<p><strong>Data de entrega:</strong> 22/07/2019 na secretaria até às 18h</p>","full_html"
"2050","Edital do Programa de Pós-Graduação em Filosofia para ingresso no Ano de 2020","posgraduacao/quadro",NA,"","","","2019-08-11","<p>Caros(as) interessados(as),</p>

<p>já se encontra disponível o Edital do Programa de Pós-Graduação em Filosofia para ingresso no Ano de 2020</p>

<p><strong>Saiba mais:</strong> <a href=""http://filosofia.fflch.usp.br/posgraduacao/processoseletivo"" style=""box-sizing: border-box; margin: 0px; padding: 0px; border: 0px; font: inherit; vertical-align: baseline; color: rgb(105, 89, 145); text-decoration-line: none;"">http://filosofia.fflch.usp.br/posgraduacao/processoseletivo</a></p>","full_html"
"2044","Período de Pré-matrícula dos alunos regulares","posgraduacao/quadro",NA,"","","","2019-07-07","<p>Prezados alunos(as),</p>

<p>O período de Pré-matrícula dos alunos regulares via WEB (janus.usp.br) é de 01 a 07 de julho de 2019 e não como informado anteriormente (01 a 05).<br />
 </p>","full_html"
"2043","Tema de Recuperação","graduacao/quadro",NA,"FLF0465 Estética III","","Prof. Dr. Léon Kossovitch","2019-07-26","<p><strong>Tema de Recuperação:</strong> o mesmo do trabalho final.</p>

<p><strong>Data de entrega:</strong> 26/07/19.</p>","full_html"
"2042","Tema de recuperação","graduacao/quadro",NA,"FLF0248 História da Filosofia Contemporânea I","","Prof. Dr. Eduardo Brandão","2019-07-18","<p><strong>Tema de recuperação:</strong> o mesmo dado em sala de aula;</p>

<p><strong>Data da entrega:</strong> 18/07/2019</p>

<p> </p>","full_html"
"2013","Tema de Recuperação","graduacao/quadro",NA,"FLF0279 Teoria das Ciências Humanas II","","Prof. Dr. Valter Alnis Bezerra","2019-07-22","<div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small;""><strong>Tema para recuperação:</strong></div>

<div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small;"">Apresente e discuta as características centrais das concepções de progresso científico e de racionalidade presentes na imagem de ciência kuhniana. Em que aspectos elas se afastam das concepções tradicionais acerca desses temas?</div>

<div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small;""><strong>(Extensão máxima: 3000 palavras, prazo de entrega: 22/07/2019)</strong></div>","full_html"
"2009","Lançamento das horas de ATPA","licenciatura/quadro",NA,"","","","2019-07-11","<p>As horas das ATPAs atribuidas em reunião do COC dia 28/06/2019 já se encontram lançadas no Jupiterweb.</p>","full_html"
"1994","Tema de recuperação","graduacao/quadro",NA,"FLF0228 História da Filosofia Antiga I","","Prof. Dr. Roberto Bolzani Filho","2019-07-19","<p><strong>Tema de recuperação:</strong> o mesmo dado em sala de aula<br />
<strong>Data da entrega:</strong> 19/07/2019 até às 18h.</p>","full_html"
"1991","Relação de ATPA recebidas 1º semestre 2019","licenciatura/quadro",NA,"","","","2019-07-01","<p><strong>ONLINE</strong></p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"">
	<thead>
		<tr>
			<th scope=""col"" style=""width:132px"">
			<p><strong>Nº USP</strong></p>
			</th>
			<th scope=""col"" style=""width:284px"">
			<p><strong>NOME</strong></p>
			</th>
		</tr>
	</thead>
	<tbody>
		<tr>
			<td style=""width:132px"">
			<p>7251942</p>
			</td>
			<td style=""width:284px"">
			<p>Andre Kviatkovski</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>7189891</p>
			</td>
			<td style=""width:284px"">
			<p>Bruno Carlos Hayata</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>7671882</p>
			</td>
			<td style=""width:284px"">
			<p>Daiane Martins Souza</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>9339859</p>
			</td>
			<td style=""width:284px"">
			<p>Daniel Sposito Coelho</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>3713230</p>
			</td>
			<td style=""width:284px"">
			<p>Fernanda da Silva Franco</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>8983760</p>
			</td>
			<td style=""width:284px"">
			<p>Jardel Romao Travenisk</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>9893203</p>
			</td>
			<td style=""width:284px"">
			<p>Luis Fernando de Almeida Biondo</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>9339838</p>
			</td>
			<td style=""width:284px"">
			<p>Pan dos Santos Guimaraes Vieira</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>7602265</p>
			</td>
			<td style=""width:284px"">
			<p>Pedro de Carvalho Naletto</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>3465978</p>
			</td>
			<td style=""width:284px"">
			<p>Ricardo Alexandre Dias de Moraes</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>6476200</p>
			</td>
			<td style=""width:284px"">
			<p>Roberta de Bartolo Mariano</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>7622618</p>
			</td>
			<td style=""width:284px"">
			<p>Rodrigo Juventino Bastos de Moraes</p>
			</td>
		</tr>
	</tbody>
</table>

<p> </p>

<p><strong>SECRETARIA</strong></p>

<table border=""0"" cellpadding=""0"" cellspacing=""0"">
	<thead>
		<tr>
			<th scope=""col"" style=""width:132px"">
			<p><strong>Nº USP</strong></p>
			</th>
			<th scope=""col"" style=""width:284px"">
			<p><strong>NOME</strong></p>
			</th>
		</tr>
	</thead>
	<tbody>
		<tr>
			<td style=""width:132px"">
			<p>7201772</p>
			</td>
			<td style=""width:284px"">
			<p>Bruno Braga Prado</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>2122685</p>
			</td>
			<td style=""width:284px"">
			<p>Fernando Felício Pachi Filho</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>9339891</p>
			</td>
			<td style=""width:284px"">
			<p>Gabriela Macedo Pereira de Souza</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>8579098</p>
			</td>
			<td style=""width:284px"">
			<p>Gustavo André de Macedo Fiorello</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>9828910</p>
			</td>
			<td style=""width:284px"">
			<p>Luana Moreno</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>7622577</p>
			</td>
			<td style=""width:284px"">
			<p>Luciana Moizes Pinto</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>9340232</p>
			</td>
			<td style=""width:284px"">
			<p>Paulo Fernando Silva Amaral</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>7622132</p>
			</td>
			<td style=""width:284px"">
			<p>Rachel Louise Eckert</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>2124429</p>
			</td>
			<td style=""width:284px"">
			<p>Solande de Oliveira</p>
			</td>
		</tr>
		<tr>
			<td style=""width:132px"">
			<p>7622560</p>
			</td>
			<td style=""width:284px"">
			<p>Victor Hugo Fonseca da Silva Coelho</p>
			</td>
		</tr>
	</tbody>
</table>

<p> </p>","full_html"
